text,label
@USER I would affirm her. Tell her she is beautiful but at the same time that beauty comes also from wthin,0
@USER @USER @USER You want to rephrase that? I think you are talking about the U6 number?,0
"...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)""",0
@USER @USER @USER @USER @USER notice his expression. He didnt know who it was or intentions. Security behind urged him to walk away. He is a great spirited man.,0
@USER Cali already has some of the most strict gun control laws in the county. And you can't blame this on on Indiana.,1
@USER Stand your ground conservatives.😎,0
@USER @USER just wanna make sure you see how we're basking in the booty,0
#Socialist #Liberals Clarify: 'We Only Want #Socialism For Everyone Else'. #Emmys #TuesdayThoughts #GlobalCitizen #Elections2018 URL,0
@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss,1
.@USER opposes the student loan refinancing bill that would help hundreds of thousands of borrowers get lower rates at no net cost to taxpayers. He is losing this election and he is a desperate politician.   Democrats might not want to let him steal this issue. URL,0
@USER @USER @USER @USER CNN is doing fine. It's just that MSNBC is doing great. Fox hasn't grown one iddy biddy tiny bit. Same crowd of Conservatives (about 3out of 10 people)...so sane people still are a majority,0
@USER your just one big sore on the conservatives back side.,0
@USER CNN can do better.  They can get down to 60% disapproval in no time.,0
@USER @USER There’s something wrong with my TV as when Liberals are on the Audio simply reverts to: “blah blah blah blah blah blah blah”. I’ve looked into troubleshooting but there’s no fix for that as it’s the ‘source’ of audio &amp; TV circuitry can’t convert the Insane BS into real words? URL,0
@USER he is doing it to everyone he don’t like,0
@USER Blow hard,0
@USER Didn’t break rules. Had permission. A liar.,0
@USER @USER I’ll toast to me #Hillary URL,0
@USER @USER What if she is saying lies? Were you present?,0
#ThursdayThoughts- FUCK liberals. Forever.,1
@USER @USER @USER @USER @USER I didnt know my statement was for your entertainment but the root of this problem is conservatives dont root for Serena even though she is the greatest America female tennis player to play the game. So of course they will side with the ref and it all stems from racial resentment,0
@USER  @USER  @USER   WE THE PEOPLE DEMAND AN INVESTIGATION OF        keith ellison!! #MAGA URL,0
@USER Good riddance.,0
@USER Because the cost of seats is too high. Still on that kneeling thing are we?,0
@USER @USER @USER Its her job to do that he is not her pr guy.,0
@USER I thought they turned into Antifa?,0
"@USER @USER @USER Bret, maybe you're just running away because you pretended to be an expert and got pounded into submission by a girl.  All you did was assume and demand proof, I provided. You provided 'your say so. In terms of debating, you lost. Have a nice day.""",1
