text,label
@USER She doesn't want to go to jail for lying to a Senate Committee. She has had no crime committed on her &amp; is a leftest activist trying to stall his confirmation. A nutty Professor that I believe is a closet ANTIFA member pd by Soros.,1
@USER @USER @USER @USER Lisa Page confirmed the Russia story was passed to the MSM as a distraction for gullible liberals to push as a narrative to hinder our duly elected president’s success in office.,0
@USER @USER You are right free speech is one thing that makes this country great. Another is the very flag that is a symbol that gives us that right.,0
@USER Good grief Texas don't vote for this guy.,0
#jiyoonfact She is the father of the group.,0
@USER @USER Yh he is,0
@USER Peach is naturally human. Toadette just created a drug to become human.  That and Nintendo wanted Peach playable and needed an excuse since in NSMBU she is kidnapped.,0
@USER @USER @USER @USER I cant even imagine it. I think they would boot her off. She is the craziest reality star of all time.,0
@USER I can’t wait till antifa dorks get shot trying this.,0
@USER Legally you need to take 15 min break every 2 hours and a lunch after 4 if you stream for more than 5 hours lol if you stream for more than 10 hours you are required to take a second lunch before the 10th hour,0
@USER @USER @USER I hope the voters of the UK won’t forget what a shambles @USER @USER and  @USER have made of this. Lack of leadership has left us in the doldrums and betrayed both those who voted Leave and the rest of the UK. #BrexitBritain,0
"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot""",0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following all #Maga patriots please follow back 👍  #LionsDen 🦁  #MAGA2KAG 🇺🇸,0
@USER Won't be legalized federally since it can be used as back door gun control.,0
@USER @USER You go Mike and by the way Sarah she is the best lair . URL,0
@USER im down in 15 minutes if you are,0
@USER @USER @USER @USER @USER @USER @USER Whatever the rights and wrongs she HAS talked about it and written about it publicly so if she hadn’t sought or received help what are the people around her doing allowing her on such programmes as CBB &amp; LW? I think SHE has the final say and likes the large sums she is offered!,0
@USER @USER @USER The reason I ask is because  most liberals R totally oblivious to good things he's done.They often R so clueless they can't even name 1 thing.  They just repeat what they hear from programs like The View &amp; liberal media.They haven't even researched or have a thought of their own.,0
@USER you are some basic white girl who clearly didn’t know any of them personally and it’s awful what has happened to Mac so why don’t you pay respect to that instead of being disgusting and blaming another innocent human in something that has nothing to do with them.,1
@USER still spewing your lies.....you are not good enuf to lick our President's boot straps... what about the deaths in Chicago...u r a liar and a manipulator...go vack to indonesia barry,1
@USER Andrew .... what is your position on gun control in Canada ?,0
@USER @USER Best female  tennis player ever? Arguably. Great player. She is starting to age and become less unbeatable.,0
@USER @USER @USER ok say less im ready whenever he is,0
@USER YOU ARE SO CUTE 😭💕,0
@USER I feel you dude it Fucking sucks,0
@USER @USER @USER @USER Looks like Liberals are trying to hide this truth... URL,0
@USER @USER @USER Was he trying to fool you?,0
@USER Who CARES??? She broke into HIS home and shot him. She is the one. That needs to be held fully accountable for her actions.,0
@USER @USER Soo Sweet!! Eliza you are amazing you opened her up she is too cute and Eliza your a beautiful soul💕,0
@USER @USER Global sushi &gt; dead commie terrorist. I choose sushi.,0
@USER @USER @USER She is an alt-left crazy and was discredited by numerous women. All you dems have left is lies. Her name is DR. LIAR.,1
"@USER ......Oh What about Kyle's since he is one of your many adoptive dads""""",0
@USER You are your daddy's first mistake.,0
@USER you are very generous. &lt;3,0
@USER The antifa of the Muslim world,0
